opencpnName,category,matchKind,esriName,opencpnColorRefs,opencpnDayColors,opencpnBitmap,matchReason
"BOYPIL74","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHREDDCHGRN","","rastersymbols-day.png:10,415,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL75","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRNDCHRED","","rastersymbols-day.png:38,415,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL76","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHREDDCHWHT","","rastersymbols-day.png:66,415,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL77","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRNDCHWHT","","rastersymbols-day.png:94,415,18x18@9,14","semantic token match for BOYPIL"
"BCNTOW68","POINT","SEMANTIC_TOKEN","Q83_Beacon_submerged_rock.svg","ADEPMDBCHBLKCCHYLW","","rastersymbols-day.png:122,415,15x18@7,14","semantic token match for BCNTOW"
"BOYCON60","POINT","SEMANTIC_TOKEN","Q20a_Conical_buoy.svg","ADEPMDBCHBLKCCHRED","","rastersymbols-day.png:167,415,19x16@9,12","semantic token match for BOYCON"
"BOYCON61","POINT","SEMANTIC_TOKEN","Q20a_Conical_buoy.svg","ADEPMDBCHBLKCCHGRN","","rastersymbols-day.png:196,415,19x16@9,12","semantic token match for BOYCON"
"BOYCON62","POINT","SEMANTIC_TOKEN","Q20a_Conical_buoy.svg","ADEPMDBCHBLKCCHYLW","","rastersymbols-day.png:225,415,19x16@9,12","semantic token match for BOYCON"
"BOYCAN61","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRN","","rastersymbols-day.png:254,415,19x15@9,11","semantic token match for BOYCAN"
"BOYCAN62","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRN","","rastersymbols-day.png:283,415,19x15@9,11","semantic token match for BOYCAN"
"BOYCAN63","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHYLW","","rastersymbols-day.png:312,415,19x15@9,11","semantic token match for BOYCAN"
"RESTRN51","POINT","UNRESOLVED","","ADEPMDBCHMGD","","rastersymbols-day.png:341,415,22x26@27,-6","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ACHPNT02","POINT","UNRESOLVED","","ADEPMDBCHBLK","","rastersymbols-day.png:408,415,25x29@18,1","no exact/direct/semantic ESRI match; generic category fallback disabled"
"DANGER51","POINT","UNRESOLVED","","ACHBLKBDEPVS","","rastersymbols-day.png:443,415,29x21@16,10","no exact/direct/semantic ESRI match; generic category fallback disabled"
"DANGER52","POINT","UNRESOLVED","","ACHBLK","","rastersymbols-day.png:482,415,29x21@16,10","no exact/direct/semantic ESRI match; generic category fallback disabled"
"QUAPOS02","POINT","UNRESOLVED","","ACHBLK","","rastersymbols-day.png:553,415,22x21@21,20","no exact/direct/semantic ESRI match; generic category fallback disabled"
"QUAPOS03","POINT","UNRESOLVED","","ACHBLK","","rastersymbols-day.png:585,415,26x21@25,20","no exact/direct/semantic ESRI match; generic category fallback disabled"
"ISODGR51","POINT","UNRESOLVED","","ADEPMDBCHMGD","","rastersymbols-day.png:621,415,19x19@9,9","no exact/direct/semantic ESRI match; generic category fallback disabled"
"BOYSPR04","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHWHTDCHCOR","","rastersymbols-day.png:650,415,10x18@4,15","semantic token match for BOYSPR"
"BOYSPR05","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHWHTDCHBLK","","rastersymbols-day.png:670,415,10x18@4,15","semantic token match for BOYSPR"
"SOUNDG00","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:690,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG01","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:706,415,4x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG02","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:720,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG03","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:736,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG04","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:752,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG05","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:768,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG06","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:784,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG07","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:800,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG08","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:816,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG09","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:832,415,6x10@-2,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG10","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:848,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG11","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:864,415,4x10@4,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG12","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:878,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG13","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:894,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG14","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:910,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG15","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:926,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG16","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:942,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG17","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:958,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG18","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:974,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG19","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:990,415,6x10@5,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG20","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1006,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG21","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1022,415,4x10@11,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG22","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1036,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG23","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1052,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG24","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1068,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG25","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1084,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG26","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1100,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG27","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1116,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG28","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1132,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG29","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1148,415,6x10@12,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG30","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1164,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG31","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1180,415,4x10@18,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG32","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1194,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG33","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1210,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG34","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1226,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
"SOUNDG35","POINT","UNRESOLVED","","ACHGRDBDEPMD","","rastersymbols-day.png:1242,415,6x10@19,4","no exact/direct/semantic ESRI match; generic category fallback disabled"
